Sr_No.,Bee_species,Date,Time,Overall_weight,Vial_weight,Bee_weight,ITD_1,ITD_2,ITD_Final,ITD1-ITD2,CV,Righting_T_ambient,Righting_Duration,Righting_Temperature,Take_off_T_ambient,Take_off_Duration,Take_off_Temperature
1,L.M,20/04,11:39,2.627,2.608,0.019,0.227,0.226,0.2265,0.001,0.0007072135785,24.4,8:30,33.1,26.5,14:46,38.3
2,L.M,20/04,12:29,2.713,2.61,0.103,0.256,0.24,0.248,0.016,0.01131541726,28.6,2:25,31.8,25.3,13:55,41.6
3,L.M,20/04,13:22,2.696,2.683,0.013,0.24,0.241,0.2405,-0.001,0.0007072135785,20.7,2:25,20.8,20,2:46,20.9
4,L.M,20/04,13:31,2.655,2.623,0.032,0.207,0.195,0.201,0.012,0.008486562942,19.8,2:20,20.9,20.1,6:41,25.8
5,L.M,20/04,13:51,2.574,2.555,0.019,0.242,0.197,0.2195,0.045,0.03182461103,19.7,2:33,18.7,20.2,13:34,28.2
7,L.M,21/04,10:39,2.734,2.704,0.03,0.224,0.215,0.2195,0.009,0.006364922207,23,2:47,30.2,26.5,7:44,34.2
8,L.M,21/04,10:57,2.793,2.769,0.024,0.175,NA,0.175,NA,NA,23.7,1:54,34,22.2,7:55,38.1
9,L.M,21/04,14:22,2.684,2.663,0.021,0.212,0.215,0.2135,-0.003,0.002121640736,21,1:39,23.9,21,2:56,25.7
11,L.M,21/04,15:24,2.668,2.633,0.035,0.207,0.209,0.208,-0.002,0.001414427157,21.7,2:32,27.8,22.3,6:54,31.6
14,L.M,22/04,10:28,2.566,2.547,0.019,0.243,0.197,0.22,0.046,0.03253182461,20.7,0:28,27.2,21,1:57,30.8
15,L.M,22/04,10:45,2.556,2.543,0.013,0.186,0.2,0.193,-0.014,0.009900990099,21.1,1:24,30.3,21.8,17:01,36.4
16,L.M,22/04,15:48,2.627,2.602,0.025,0.182,0.21,0.196,-0.028,0.0198019802,20.6,0:43,22.8,21.7,3:01,28.2
17,L.M,23/04,14:24,2.763,2.744,0.019,NA,0.176,0.176,NA,NA,17.1,1:47,24,17.7,13:09,26.5
19,L.M,24/04,12:00,2.743,2.727,0.016,0.218,0.198,0.208,0.02,0.01414427157,18.9,1:02,25.4,18.7,6:14,27.6
20,L.M,24/04,15:00,2.885,2.838,0.047,0.2,0.204,0.202,-0.004,0.002828854314,20,2:00,25.1,20.5,4:01,29.5
21,L.M,24/04,15:07,2.634,2.612,0.022,0.18,0.2,0.1923333333,-0.02,0.01414427157,20.3,1:00,26.4,20.3,3:07,29.2
24,L.M,25/04,10:45,2.858,2.816,0.042,0.168,0.169,0.1685,-0.001,0.0007072135785,20.7,1:45,25.7,22.8,6:56,37.2
1,H.S,21/04,9:33,2.706,2.62,0.086,0.369,0.345,0.357,0.024,0.01697312588,22.8,1:30,28.5,22.5,2:21,30.4
2,H.S,21/04,9:55,2.656,2.616,0.04,NA,0.4,0.4,NA,NA,24.8,3:42,33.4,27.5,16:15,42.3
3,H.S,21/04,12:16,2.682,2.609,0.073,0.26,0.273,0.2665,-0.013,0.009193776521,33.8,2:06,38.3,21,14:04,33.6
4,H.S,21/04,12:55,2.863,2.764,0.099,0.379,0.376,0.3775,0.003,0.002121640736,21.1,2:45,29.6,21.1,3:42,32.7
5,H.S,21/04,13:24,2.71,2.608,0.102,0.326,0.347,0.3365,-0.021,0.01485148515,20.7,7:49,27.5,21.2,19:31,34.7
6,H.S,21/04,14:38,2.809,2.719,0.09,0.308,0.325,0.3165,-0.017,0.01202263083,21.4,2:00,29.6,21.4,3:36,29.4
7,H.S,22/04,11:32,2.639,2.552,0.087,0.396,0.368,0.382,0.028,0.0198019802,22.8,2:54,30.4,23.1,3:19,29.6
8,H.S,22/04,12:03,2.779,2.7,0.079,0.368,0.338,0.353,0.03,0.02121640736,22.3,3:23,30.9,22,8:36,35.8
9,H.S,22/04,14:27,2.706,2.658,0.048,0.308,NA,0.308,NA,NA,24,5:11,32.8,23.9,10:50,38.7
10,H.S,23/04,15:44,2.662,2.589,0.073,0.353,0.35,0.3515,0.003,0.002121640736,17.6,0:27,24.3,17.8,3:23,29.7
11,H.S,24/04,11:28,2.84,2.762,0.078,0.332,0.355,0.3435,-0.023,0.01626591231,18.7,6:30,27.1,19.2,27:11:00,31.3
14,H.S,24/04,12:57,2.922,2.832,0.09,0.383,0.326,0.3545,0.057,0.04031117397,19.9,3:10,29.9,21.1,10:23,31.5
15,H.S,24/04,13:29,2.758,2.735,0.023,0.31,0.313,0.3115,-0.003,0.002121640736,19,2:44,27.4,19.3,8:09,29
16,H.S,24/04,13:45,2.932,2.884,0.048,0.32,0.303,0.3115,0.017,0.01202263083,19.4,2:11,28.3,19.4,7:21,30.2
17,H.S,24/04,14:52,2.665,2.591,0.074,0.303,0.334,0.3185,-0.031,0.02192362093,19.1,2:35,25.6,19.2,3:15,29.7
18,H.S,24/04,15:40,2.838,2.778,0.06,0.322,0.313,0.3175,0.009,0.006364922207,19.6,3:11,26.7,19.7,5:10,30.3
19,H.S,25/04,9:34,2.757,2.632,0.125,0.35,0.398,0.374,-0.048,0.03394625177,24.2,2:07,33.4,25.2,2:32,35.9
20,H.S,25/04,9:44,2.79,2.71,0.08,0.364,0.329,0.3465,0.035,0.02475247525,19.8,1:08,32,19.9,1:51,35.8
