"Camera","Camera_type","Site","Day","Date","Time","Number_of_bees_2min","LM_2min","HS_2min","Number_of_bees_4min","LM_4min","HS_4min","Number_of_bees_6min","LM_6min","HS_6min","Number_of_bees_8min","LM_8min","HS_8min","Number_of_bees_10min","LM_10min","HS_10min","Avg_total_number_of_HS","Avg_total_number_of_LM","Avg_total_number_of_bees","Duration_of_nest_opening_HS","Avg_duration_of_nest_guarding_LM","Avg_duration_of_nest_guarding_HS","Duration_of_nest_closing_HS","Incoming_frequency_LM","Outgoing_frequency_LM","Incoming_frequency_HS","Outgoing_frequency_HS","Thermochron_1","Thermochron_10","Thermochron_2","Thermochron_3","Thermochron_4","Thermochron_6","Thermochron_7","Thermochron_8","Thermochron_9","Avg_T_ambient","Avg_T_H_scab","Avg_T_L_mala","Avg_lux_light_logger"
"Sveta","Focal",2,1,"15/4",10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.2,0,0.2,47,NA,59,NA,0,0,0,0,25.7166666666667,14,21.2166666666667,14.7,15.8833333333333,14.9,15.9333333333333,17.0166666666667,14.95,NA,NA,NA,NA
"Sveta","Focal",2,1,"15/4",11,1,0,1,3,0,3,0,0,0,2,0,2,0,0,0,1.2,0,1.2,NA,NA,NA,NA,0,0,1,2,27.75,14.8166666666667,26.1,15.8666666666667,17.5,15.7,17.6333333333333,19.95,16.0333333333333,NA,NA,NA,NA
"Sveta","Focal",2,1,"15/4",13,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.2,0.6,2,NA,NA,NA,0,0,0,0,27.5666666666667,16.7833333333333,33.65,17.75,21.1333333333333,19.1833333333333,21.1333333333333,26.7833333333333,19.1333333333333,NA,NA,NA,NA
"Sveta","Focal",2,1,"15/4",14,1,0,1,3,2,1,1,0,1,0,0,0,0,0,0,0.6,0.8,1,NA,NA,NA,NA,0,0,0,0,25.7833333333333,17.6833333333333,33.7666666666667,18.45,22,20.6333333333333,22,26.8333333333333,20,NA,NA,NA,NA
"Sveta","Focal",2,1,"15/4",15,0,0,0,2,0,2,0,0,0,0,0,2,1,0,1,1,0,0.6,NA,NA,381,NA,0,0,0,0,25.4833333333333,18,32.1833333333333,19,22,21,22.0333333333333,27.05,20.5666666666667,NA,NA,NA,NA
"Sveta","Focal",2,1,"15/4",16,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0.6,0,0.8,NA,NA,NA,61,0,0,1,1,25.85,18,28.0666666666667,19,21.7833333333333,20.6,22.1,25.1833333333333,20.9166666666667,NA,NA,NA,NA
"Sveta","Focal",2,1,"15/4",17,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0.4,0.2,0.4,NA,NA,NA,NA,0,0,0,0,25.7666666666667,18,23.85,19,21,20,21.6,22.8166666666667,20,NA,NA,NA,NA
"Sveta","Focal",2,2,"16/4",10,0,0,0,1,0,1,1,0,1,3,0,3,1,0,1,1.2,0,1.2,28,NA,236.5,NA,0,0,0,0,18.1,15,15.3666666666667,15,15.6833333333333,15,15.75,16.1333333333333,15,NA,NA,NA,NA
"Sveta","Focal",2,2,"16/4",11,0,0,0,1,0,1,1,0,1,2,2,0,1,0,1,0.6,0.4,1,NA,NA,54,NA,0,0,2,1,21.4166666666667,15,20.2,15.15,16.5,15.6333333333333,16.4666666666667,18.45,15.6833333333333,NA,NA,NA,NA
"Sveta","Focal",2,2,"16/4",12,2,1,1,2,0,2,2,2,0,5,2,3,3,1,2,1.6,1,2.8,NA,NA,209.3,NA,0,0,4,3,21.7666666666667,15.1666666666667,21.9,16,17.3333333333333,16.4166666666667,17.4,20.1166666666667,16.2,NA,NA,NA,NA
"Sveta","Focal",2,2,"16/4",13,3,2,1,2,0,2,0,0,0,2,1,1,2,1,1,1,0.8,1.8,NA,223,554,NA,0,0,3,1,23.1,16,25.7166666666667,16.6833333333333,18.3666666666667,17.3833333333333,18.5833333333333,23.0333333333333,17.0833333333333,NA,NA,NA,NA
"Sveta","Focal",2,2,"16/4",14,1,1,0,1,1,0,2,2,0,1,1,0,2,1,1,0.2,1.2,1.4,NA,69,NA,NA,2,1,0,0,23.2833333333333,16.4833333333333,29.0833333333333,17.65,19.7,18.8666666666667,19.8666666666667,23.4666666666667,18.15,NA,NA,NA,NA
"Sveta","Focal",2,2,"16/4",16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.4,0.2,NA,NA,NA,NA,1,0,0,0,22.1833333333333,17,21.9666666666667,18,19.55,19,20,20.6333333333333,19,NA,NA,NA,NA
"Sveta","Focal",2,2,"16/4",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,22.4166666666667,19.1,20.3666666666667,19.95,20.2833333333333,19.6833333333333,20.2166666666667,20.6666666666667,20.6,NA,NA,NA,NA
"Sveta","Focal",2,3,"17/4",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,14.1,14.5666666666667,NA,16.4666666666667,NA,14.5666666666667,15,14,15,NA,NA,NA,NA
"Sveta","Focal",2,3,"17/4",11,1,1,0,0,0,0,0,0,0,1,1,0,4,4,0,0,0.4,1.2,NA,92,NA,NA,1,3,0,0,17.2333333333333,15,NA,19.0666666666667,NA,15.2,15.9,14.95,15,NA,NA,NA,NA
"Sveta","Focal",2,3,"17/4",12,2,1,1,3,2,1,1,1,0,3,1,2,3,2,1,1,1.8,2.4,NA,69.8,NA,NA,6,7,0,0,19.5166666666667,15.7,NA,21.1,NA,16,16.7833333333333,15.4,15.6,NA,NA,NA,NA
"Sveta","Focal",2,3,"17/4",13,3,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0.4,1,1,NA,NA,NA,456,2,2,0,0,20.5333333333333,16.4833333333333,NA,22.1666666666667,NA,16.8666666666667,17.9666666666667,16,16,NA,NA,NA,NA
"Sveta","Focal",2,3,"17/4",14,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0.2,0.4,0.6,NA,NA,NA,NA,1,0,0,0,21.4666666666667,17,NA,24.4333333333333,NA,17.4,19.05,16.65,16.85,NA,NA,NA,NA
"Sveta","Focal",2,3,"17/4",15,0,0,0,1,1,0,1,1,0,2,2,0,0,0,0,0,0.8,0.8,NA,20.7,NA,NA,0,0,0,0,20.3666666666667,17.9166666666667,NA,25.7666666666667,NA,18.0833333333333,20.4666666666667,17.8666666666667,17.6166666666667,NA,NA,NA,NA
